type,Featureid,Longitude,Latitude,FeatureName
Point,31277,48.9672781,37.8186158,Свято-Николаевский храм
Point,2402,50.0555915,36.2950886,Свято-Николаевский храм
Point,17434,48.316746,35.509649,Свято-Николаевский Храм Днепропетровской епархии УПЦ
Point,27006,48.1298489,37.9416647,Свято-Николаевский храм п.Ясиновка
Point,5097,48.195545,37.531954,Свято-Николаевский храм пос.Новоселовка 1
Point,26246,46.2308339,32.7355778,Свято-Николаевский храм с. Новониколаевка
Point,13649,45.0055145,34.2557938,Свято-Никольский храм в селе Мазанка Симферопольского района
Point,28036,44.955541,34.095287,Свято-Никольский храм&#044;  город Симферополь
Point,30086,48.30949,38.018823,Свято-Пантелеимоновский храм
Point,22603,49.576686,34.5375994,Свято-Пантелеимоновский храм г. Полтава
Point,5375,50.361098,31.3024793,Свято-Пантелеимоновский храм УПЦ пгт.Барышевка
Point,30949,47.607317,29.2693805,Свято-Параскевинский храм с.Топалы
Point,30919,48.4973625,39.4919588,Свято-Покровский храм
Point,32068,48.4737962,37.0844042,Свято-Покровский храм г. Доброполье
Point,29025,48.13216,37.915292,Свято-Покровский Храм п. Землянки
Point,19569,51.3769308,30.8490884,Свято-Покровский храм с. Ковпыта Черниговской епархии.
Point,4206,48.1183761,32.3467552,Свято-Покровский храм с.Коротяк
Point,13599,50.150527,30.0809848,Свято-Покровский-Тихоновский приход с. Мотовиловка
Point,27499,48.875728,27.685843,Свято-Покровський храм
Point,22778,50.834496,25.884775,Свято-Покровський храм смт. Цумань&#044; Волинська єпархія Української Православної Церкви
Point,12875,50.39804,26.140076,Свято-Різдво-Богородичний храм смт Мізоч
Point,13738,46.1161665,32.9090154,Свято-Сергиевский храм
Point,23977,48.8904575,36.3096513,Свято-Смоленский храм&#044; город Лозовая
Point,23508,46.6908812,33.2904564,Свято-Сретенский храм
Point,3433,48.506513,35.067947,Свято-Трёхсвятительский храм
Point,32122,49.9745075,36.2293125,Свято-Трехсвятительский храм&#044; г. Харьков
Point,27532,48.916159,27.789653,Свято-Троїцький храм
Point,4547,50.3608698,31.5060079,Свято-Троїцький храм с. Недра
Point,4576,50.8440749,31.916842,Свято-Троїцький храм смт Лосинівка
Point,3000117,47.1106408,37.510972,Свято-Троицкий храм г. Мариуполя
Point,25213,50.434115,30.517594,Свято-Троицкий храм г.Киева
Point,3706,50.8220482,31.5063107,Свято-Троицкий храм с.Кобыжча
Point,1465,51.0741465,30.3921854,"Свято-Троицкий храм, село Страхолесье"
Point,3010,48.528988,32.265222,Свято-Успенский храм
Point,8113,47.3925501,35.0109573,Свято-Успенский храм
Point,31942,51.7842764,24.8639488,Свято-Успенський храм УПЦ
Point,4356,50.9116836,31.1106806,Собор Різдва Богородиці
Point,4931,50.509114,30.7783325,Собор святих апостолів Петра і Павла м. Бровари
Point,13740,48.5184522,32.2742126,Соборный храм Благовещения Пресвятой Богородицы
Point,27508,49.029822,27.537397,Спасо-Преображенський храм
Point,27526,49.059537,27.676519,Спасо-Преображенський храм
Point,24516,48.635177,23.751681,Спасо-Преображенський храм&#044; с.Слобода
Point,31893,48.6637924,33.0653071,Ставропигійний храм на честь Різдва Христового
Point,28916,50.4705417,30.516935,"Україна, м. Київ, вул. Почайнинська, 27/44"
Point,17600,49.429976,32.0874338,Украинская православная церковь
Point,32952,48.8275617,38.0358684,Украинская Православная Церковь
Point,28446,48.1451983,38.3536451,Украинская Православная Церковь  Московского Патриархата&#044;
Point,19318,50.700785,34.474466,Успенская религиозная община села Межирич Сумской епархии Украинской Православной Церкви
Point,28032,46.6522726,32.564375,Херсонская епархия
Point,5080,49.8065727,27.5624,Хмельницкая епархия
Point,31512,50.4505432,30.373359,Храм 40 Мучеников Севастийских
Point,7677,50.4162181,30.5043864,Храм «Воскресения Словущего» (на Байковом кладбище)
Point,6980,50.4711369,30.4383057,Храм ікони Божої Матері «Пантанасса» (при 9-й лікарні)
Point,16511,50.4292829,30.5393179,Храм ікони Божої Матері Помічниця в пологах
Point,27494,48.997139,27.773591,Храм Іоанна Предтечі
Point,28202,44.6217162,33.565208,Храм Александра Невского  Севастополь&#044; Северная
Point,7013,50.4693805,30.4771232,Храм ап.Луки (у київському відділі медзабезпечення ГУВС)
Point,27530,48.962394,27.680885,Храм апостола і євангеліста Іоанна Богослова
